"","SFTPC","SFTPB","SFTPD","PGC","CLDN18","AQP4","SCGB3A1","ABCA3","GATA6","NKX2-1","SFTA3","IGFBP2","HOPX","NAPSA","FOXA2","AGER","LAMP1","AT2_diff_mean","IDO1","KYNU","QPRT","Kynurenine_diff_mean","ANXA2","PLAT","PLAU","PLAUR","SERPINE1","Plasminogen_diff_mean","GJB3","GJB2","GJB5","GapJunction_diff_mean"
"LT_S05",0,0,0,0,0,0,0,0,1.0325538955135,0.869340176278083,0,0,2.44861468767016,1.24675153308733,0,0,0,0.329250605444063,0,0.844582667961106,0,0.281527555987035,3.90758165554339,1.13136287912272,2.17161801100594,1.39815873815507,0,2.15218032095678,1.57592136490707,0,0.869340176278083,0.815087180395052
"LT_S07",0,0.514849402911775,0.0330886574654051,0,0,0,0,0.0487483970776407,0.0723415712732072,0.352763041688788,0.456690024124259,0.0248071238116748,1.87179804651601,1.1761338181157,0,0.00723699235485857,0.199683162656456,0.279890602235046,0.503186591526109,0.87833027014186,0.0765913189283222,0.486036060198764,3.46290672813572,2.15044924087545,2.18715393995722,1.53043245254169,0.244647998977482,2.33273559037752,0.484529042705791,0.261066143804743,0,0.248531728836845
"LT_S08",0,2.55742704913058,0.0766403851485673,0,0,0,0,0,0.022275547527904,0.427618548177817,0.461112452626154,0.0795669829475029,1.62043536220264,1.49605428401547,0.01236857337159,0.00637508538742361,0.0858376471838042,0.402688936336438,0.393335347088373,1.21826030684227,0.133450164807217,0.581681939579288,3.9621625821485,2.52657427803687,2.41826481571701,1.40559918408709,0.0135677172627097,2.57815021499737,0.576798381214369,0.373204490837299,0.02611094723328,0.325371273094983
"LT_S16",0,6.46025873467952,2.01873563596038,0,0,0,0,0.0899877899821613,0,0.741198373344189,1.77063524827652,0,1.19884364152504,4.56943617179285,0,0,0.355162382799332,1.01201517519765,0,1.33297938173083,1.86300146505546,1.06532694892877,3.53634892319847,0,1.50082487907428,1.40701273803612,0,1.61104663507722,0,0,0,0
"LT_S21",0,4.31066627010038e-05,0.00761836344441565,5.48484037071921e-05,0,1.72679697105981e-05,0.0108551302653512,0.00509632610506307,0.0401297976556144,0.00867455455358331,0.00546804731023672,0.123776445100328,0.375267461828034,0.00141505489136999,0.0014159648659951,0.000614996656596769,0.0975948132673454,0.0398848340576502,0.957495033815364,1.41801858479342,1.21907637099216,1.19819666320032,4.00267259137624,0.0887684878499908,0.870319274764188,0.979955601388688,1.10381544317004,1.48542898884478,0.420213063275623,0.911561198227181,0.0602356959024935,0.464003319135099
"LT_S28",0,0,0,0,0,0,0,0,0,0.130884206133384,0,0,0,0,0,0,0,0.00769907094902259,0,2.21633277308158,1.78084176328387,1.33239151212182,3.84633246180867,0,0,0,0,0.961583115452168,0,0.0863764262277428,0,0.0287921420759143
"LT_S47",0,0.0833462643063181,0.0305452646224555,0,0.000181610919897254,0.005072032635735,0.0507925185820578,0.0249110443699511,0.00662125135681078,0.118937318777787,0.454466851395448,0.506960528507077,1.06504769112458,4.47373487207608,0.0216487632345734,0.00221517423662377,0.140139189039113,0.410860022069677,2.81266147628541,0.508113927070007,1.05829721652609,1.45969087329384,4.47597316483665,1.39214207454004,1.01002606576891,1.04302887195702,0.0573938210521206,1.98029254427566,0.0683377297462843,0.00555971425320951,0,0.0246324813331646
"LT_S48",0,0,0.0580648293440552,0,0,0,0,0.0518286602017412,0.000279309914212227,0.60934145700755,1.48698764344329,0.624574504368816,0,0,0,0.000205626270007255,0.0678070762873482,0.170534653343354,0,0,0,0,2.16861383034785,0,0,0,0,0.542153457586962,0,0,0,0
"LT_S53",0.00773218293761627,0.0211929741168165,0,0,0,0,0.00357426242392528,0.0778451438430463,0,0.374668489547185,0.302072819554742,0.0226856326579145,0.902427411211802,3.46799931057533,0.188754550950332,0.000864505533243283,0.157361882231067,0.325128186210766,0.007022590146131,0.0242957869566247,5.04792807456742e-05,0.0104562854611671,3.72613345047598,2.05473100805875,1.05328823545022,0.79073569815407,0.156652426519228,1.90622209803476,0.0362301785496464,0,0.073419999687489,0.0365500594123785
"LT_S54",0,5.45305367574037,0,0,0,0,0.529449820678288,0,0,0.0902664581460826,0.372485169220493,0.00523438081722894,2.12005568967825,1.12606445168616,0,0,0,0.570388802703934,0,0,0,0,2.91192758934788,0.0561242943719091,0,0,0,0.742012970929946,0,0,0,0
"LT_S58",0.303427206575371,5.04679216061078,1.8944860320775,0,0.0033943894696593,1.53750653130665,1.60350710520523,1.11699821581642,0.117392747761129,0.758143178892815,1.35707880527728,0.901692898153466,1.34544964581761,3.88708826945859,0.650103880652159,0.577226723662883,0.12031979372609,1.24827103438021,0.681888166568633,0.0678270528891908,0.00264319592621342,0.250786138461346,2.86582872578816,0.192606911303528,0.216882712810325,0.69243288833744,0.00221842011419432,0.991937809559863,0.0533102610300054,0.237742586416231,0.000515192683584752,0.0971893467099403
"LT_S63",0.0207063109001411,0.0211981739197227,0.00750187703094836,0,0.0081609691809636,0.000616255799139781,0.000788797857866988,0.00643466139496545,0.0651091672159453,6.68283073131003e-05,0.000149010830633041,1.42791445172985,0.0241495281712033,0.0051610134891656,0.0017053031268757,0.000967296688820407,0.0847838182965742,0.0985537331729487,1.75470135490334,0.714879836910108,0.0244785115970022,0.831353234470149,3.96345724070683,1.09778732922667,1.96773749204324,1.92334518216953,1.20920181126487,2.23808181103657,1.28994633421418,0.348241400871738,0.758012909768297,0.79873354828474
"LT_S72",0,5.04331698596732,0,0,0,0,1.18641937791567,0.342022294183978,0.235809224139228,0.377983305149103,0.571527216037223,2.32990207821909,1.40667170951136,2.388577593369,0.148372573189745,0,0.279337375564484,0.841761160779188,0.631124562724378,0.115296874392544,0.203761544252462,0.316727660456462,4.52675235602175,1.8185373116705,2.23683926226738,1.47640874267187,0.0318163340517281,2.51463441815788,0.54897781508728,0.00283742367245861,0.174249329962071,0.24202152290727
"LT_S78",0.00166329370350857,0.697159556568191,0,0,0,0.164017897095452,0.511859269151672,0.00151653958129187,0.163985925182566,0.107372904940909,0.309946659307111,0.877428088678928,0.390938532451983,0,0.495112815834004,0.000896832660391882,0.12830932096535,0.226482802124786,0,0.0602402609689243,0,0.0200800869896414,3.93686448597593,0,0.0416318353538716,0,0,0.994624080332451,0.0462660115188144,0,0.0835414563470723,0.0432691559552956
"LT_S79",0.123125304035107,3.96682900886517,1.65349386234665,0.0884280946075095,0.120233919173779,0.684853857317378,2.09177696246435,0.442616120623855,0.196208212448237,0.764356270672538,1.07036541619123,1.37150039139559,1.22622949355384,2.64002356175853,0.705965725867631,0.514809341149177,0.141466697970023,1.04719307296709,1.08700099966712,0.181102976177876,0.00475765907309187,0.424287211639363,3.63800354357977,0.047551367240692,0.335429769650617,0.595721156590166,0,1.15417645926531,0.0398536287052012,0.327880309872105,0.0637860112500396,0.143839983275782
"LT_S80",0,4.4415149936246,1.54408290723964,0,0,0.790291782179228,2.53617529142615,0.527004252078957,0.0833214238723304,0.887822231502282,1.1045588780979,1.75324255508548,1.31188174227668,3.02057846624299,0.613800907422921,0.588135466408646,0.106132326002549,1.13579666020355,0.517659739048525,0.420446551754778,0.140204218884364,0.359436836562556,4.10974582549235,0,0.271295000597161,0.803567537231212,0,1.29615209083018,0.0471454275174925,0.356111151520524,0,0.134418859679339
"LT_S82",0,0,0,0.00282211166664555,0,0,0.0211486260618394,0.00443750795758385,0.0209461752598145,0.0271801066753651,0.224132630723445,0.691707795809204,0.0978459573803947,0,0,0.0123991516266558,0.60159973660526,0.100248223515659,0.618789854911726,0.547606477663132,0.197267499207287,0.454554610594048,3.18775672261322,0.000564446735995635,1.00049956992257,0.435820847860249,0.486803353872755,1.15616039678301,0.543125751900483,1.25842618550878,0.37590063669198,0.725817524700414
